book_id,source_file_path,author,title,chap_regex,author_key,book_len,title_short
144,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_THE_VOYAGE_OUT-pg144.txt,"VIRGINIA, WOOLF",THE VOYAGE OUT,^\s*CHAPTER\s+[IVXLCM]+,woolf,136619,"VIRGINIA, WOOLF 144: THE VOYAGE OUT"
805,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_THIS_SIDE_OF_PARADISE-pg805.txt,"F.SCOTT, FITZGERALD",THIS SIDE OF PARADISE,^\s*CHAPTER\s\d+\. | INTERLUDE,fitzgerald,81172,"F.SCOTT, FITZGERALD 805: THIS SIDE OF PARADISE"
1245,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_NIGHT_AND_DAY-pg1245.txt,"VIRGINIA, WOOLF",NIGHT AND DAY,^\s*CHAPTER\s+[IVXLCM]+,woolf,166966,"VIRGINIA, WOOLF 1245: NIGHT AND DAY"
4368,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_FLAPPERS_AND_PHILOSOPHERS-pg4368.txt,"F.SCOTT, FITZGERALD",FLAPPERS AND PHILOSOPHERS,^\s*CHAPTER\s+[IVXLCM]+$,fitzgerald,61801,"F.SCOTT, FITZGERALD 4368: FLAPPERS AND PHILOSOPHERS"
5670,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_JACOBS_ROOM-pg5670.txt,"VIRGINIA, WOOLF",JACOBS ROOM,^\s*CHAPTER\s,woolf,55469,"VIRGINIA, WOOLF 5670: JACOBS ROOM"
6695,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_TALES_OF_THE_JAZZ_AGE-pg6695.txt,"F.SCOTT, FITZGERALD",TALES OF THE JAZZ AGE,^^\s*CHAPTER\s+[IVXLCM]+,fitzgerald,86901,"F.SCOTT, FITZGERALD 6695: TALES OF THE JAZZ AGE"
29220,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MONDAY_OR_TUESDAY-pg29220.txt,"VIRGINIA, WOOLF",MONDAY OR TUESDAY,^\b[A-Z\s]+\b$,woolf,18419,"VIRGINIA, WOOLF 29220: MONDAY OR TUESDAY"
61085,../DS5001/NLPProjectGutenberg/final-set\ERNEST_HEMINGWAY_IN_OUR_TIME-pg61085.txt,"ERNEST, HEMINGWAY",IN OUR TIME,^\s*chapter\s*\d+\s*,hemingway,3644,"ERNEST, HEMINGWAY 61085: IN OUR TIME"
63022,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MR_BENNETT_AND_MRS_BROWN-pg63022.txt,"VIRGINIA, WOOLF",MR BENNETT AND MRS BROWN,^\s*Chapter\s\d+,woolf,7949,"VIRGINIA, WOOLF 63022: MR BENNETT AND MRS BROWN"
63107,../DS5001/NLPProjectGutenberg/final-set\VIRGINIA_WOOLF_MRS_DALLOWAY_IN_BOND_STREET-pg63107.txt,"VIRGINIA, WOOLF",MRS DALLOWAY IN BOND STREET,^[MRS DALLOWAY IN BOND STREET\s]+$,woolf,3074,"VIRGINIA, WOOLF 63107: MRS DALLOWAY IN BOND STREET"
64317,../DS5001/NLPProjectGutenberg/final-set\F.SCOTT_FITZGERALD_GREAT_GATSBY-pg64317.txt,"F.SCOTT, FITZGERALD",GREAT GATSBY,^\s*[IVXLCM]+$,fitzgerald,48355,"F.SCOTT, FITZGERALD 64317: GREAT GATSBY"
67138,../DS5001/NLPProjectGutenberg/final-set\ERNEST_HEMINGWAY_THE_SUN_ALSO_RISES-pg67138.txt,"ERNEST, HEMINGWAY",THE SUN ALSO RISES,^\s*CHAPTER\s+\d+$,hemingway,68303,"ERNEST, HEMINGWAY 67138: THE SUN ALSO RISES"
69683,../DS5001/NLPProjectGutenberg/final-set\ERNEST_HEMINGWAY_MEN_WITHOUT_WOMEN-pg69683.txt,"ERNEST, HEMINGWAY",MEN WITHOUT WOMEN,^[A-Z\s]+$,hemingway,41057,"ERNEST, HEMINGWAY 69683: MEN WITHOUT WOMEN"
