topic_id,0,1,2,3,4,label,doc_weight_sum,term_freq,fitzgerald,hemingway,woolf
T00,place,book,stage,work,fact,"T00 place, book, stage, work, fact",1.08858043326241,0.002358119792973994,0.008078287416459072,0.0008605272249744321,0.0001241018079296866
T01,trees,eyes,man,deck,time,"T01 trees, eyes, man, deck, time",5.360017820618203,0.013531237250904422,0.03104595938295211,0.0023217400598491283,0.014741003215674748
T02,eyes,man,girl,room,time,"T02 eyes, man, girl, room, time",10.221498379262998,0.020857504970455458,0.06425541235323697,0.03710337984272944,0.0012155026287146461
T03,man,room,door,window,stairs,"T03 man, room, door, window, stairs",5.399230621597087,0.007226705747952612,0.034087417936405406,0.0008605272330940374,0.011536677172667438
T04,doctor,room,bed,illness,terence,"T04 doctor, room, bed, illness, terence",3.486105737389997,0.005897715970364357,0.017063172320333227,0.021476988085695866,0.0024034103257774115
T05,life,time,years,mind,hands,"T05 life, time, years, mind, hands",2.9378854688924894,0.004514000840935995,0.008550288589660001,0.03593677987971807,0.00012410180872545027
T06,time,said,people,door,way,"T06 time, said, people, door, way",12.443741453071834,0.029892115324297395,0.014296248236316035,0.13355165650556788,0.04421729298883045
T07,said,bull,bulls,medals,time,"T07 said, bull, bulls, medals, time",2.3496400513451494,0.008520131031866883,0.011620861297460684,0.016696020582585725,0.00012410180881754812
T08,room,mother,father,time,life,"T08 room, mother, father, time, life",7.251665448928776,0.035755763181374974,0.0038577697859423317,0.0008605272373404282,0.07806958171190465
T09,said,dont,road,girl,man,"T09 said, dont, road, girl, man",14.218546166286357,0.04288062488861744,0.008099529723244287,0.2553733472067742,0.0018344843507628631
T10,man,eyes,camel,time,house,"T10 man, eyes, camel, time, house",15.411740659598312,0.033989828340375276,0.10206832558780471,0.02676262073884629,0.011419782868350565
T11,eyes,hair,man,door,table,"T11 eyes, hair, man, door, table",6.479600237507726,0.018086697579931813,0.04865380279021188,0.0008605272326817658,0.002418913854579472
T12,time,man,room,eyes,years,"T12 time, man, room, eyes, years",7.375522190740795,0.023764509244969256,0.02717754445676117,0.019814775580703475,0.033560964484412655
T13,man,eyes,life,way,room,"T13 man, eyes, life, way, room",13.308427947134147,0.02757714479187516,0.09197522791355443,0.0008605272338816948,0.017345487038037358
T14,bull,said,crowd,bulls,ring,"T14 bull, said, crowd, bulls, ring",13.657880662924622,0.057067087252731824,0.01541771003798828,0.22817611477766708,0.0005515340046638762
T15,lady,train,wife,ice,walls,"T15 lady, train, wife, ice, walls",2.9385832984124205,0.006727680336520836,0.006646402860671244,0.04072884267942059,0.00012410180925642774
T16,time,mind,way,moment,room,"T16 time, mind, way, moment, room",27.492956217704346,0.14763750126141909,0.01684274619514253,0.0015364399781839066,0.29370611937021784
T17,said,says,time,dont,count,"T17 said, says, time, dont, count",7.673258219178144,0.030161816429379915,0.007774984444518388,0.12970759995277834,0.0007322396824197033
T18,man,people,room,time,eyes,"T18 man, people, room, time, eyes",96.27697308846332,0.4619392047304543,0.43876281475723417,0.03451537096534027,0.4459889404686628
T19,window,diamond,gold,mountain,women,"T19 window, diamond, gold, mountain, women",9.628145897680856,0.021614611032598936,0.04372549391410309,0.01199568700216739,0.03976165859959445
